Agency,Fund,FY15 Mayors Proposed Budget
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55674.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55839.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,56000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,56341
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,56644
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57048.17
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57048.17
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57078.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57078.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57078.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57078.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,57121.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57400
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,57407
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57618
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,57833.69
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58280.64
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58280.64
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58443.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,58603
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,59000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,59000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,59141.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,59141.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,59141.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,59195
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,59416.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,59416.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60250.84
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,60690
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,60961.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,61055.91
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,61055.91
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,61327.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,61850
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,61960
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,62166.02
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,62206
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,62363
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,62389
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,62447.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,62621
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,62762.13
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,62762.13
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63401.54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,63610.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,64030.26
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,64726.26
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,64729.89
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,65000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,65000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,65508
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,65809
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,65915.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66090
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66606.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66644
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66705.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,66731.18
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,67006
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67034.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67152.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67333
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67456.08
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67456.08
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,67602.56
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,68000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,68179.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,68209
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,68509.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,68509.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,68562.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,69419
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,69638
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,69864
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,70000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,70530.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,70863
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71171.06
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71347.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,71638.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,71655
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72022.91
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72156.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72156.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72162.56
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,72220
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72401.6
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,72535.16
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,72597.11
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72828
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,72828
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73046.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73046.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73046.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73046.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73046.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,73064
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,73419
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,74116.43
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,74590
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,74674.12
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,75000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75622.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75929.14
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,75991.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76061.27
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76152
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76413.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76548.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76606.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76606.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76625
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,76697.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77163.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,77189
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77356.69
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77358.69
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77438.82
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,77707.52
